Company,Time,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price_Change
DXCM,2017-12-01,15.4,35.8,-88.5,391.0,338.6,-8.9,-1.4,0.29,-2.31
SHW,2013-12-01,121.6,195.9,4.2,-1139.9,-947.6,108.0,120.4,1.91,29.68
AOS,2017-12-01,-30.0,-120.2,142.1,-12.5,9.4,-160.0,-158.3,-0.75,13.93
CASY,2016-04-01,45.4,123.8,4.1,-27.6,100.3,84.0,83.5,2.35,29.82
PFG,2016-12-01,82.5,-519.3,-1986.3,1959.5,-546.1,-160.5,-275.2,-1.55,12.88
OII,2016-12-01,-206.4,-224.5,267.7,64.3,110.5,2.9,3.0,-1.38,-9.31
GD,2015-12-01,503.0,-1300.0,1302.0,-692.0,-690.0,-1761.3,-1764.4,-3.76,-0.26
GPK,2014-12-01,-56.9,68.6,-38.8,2.3,28.7,346.5,335.3,0.27,4.02
SBUX,2017-10-01,67.0,-446.1,1372.9,-1206.3,-265.2,-452.0,-445.0,-0.32,1.77
JCI,2016-09-01,-2431.0,308.0,-1357.0,875.0,-163.0,-2368.2,-2356.9,0.28,10.28
STX,2016-07-01,-1494.0,-970.0,76.0,-325.0,-1202.0,-4.0,-12.8,-2.21,-18.57
MKC,2016-11-01,70.7,68.1,71.8,-171.9,-29.5,-53.5,-51.8,0.37,5.28
SINA,2016-12-01,199.4,115.5,1971.7,-999.8,1064.4,0.5,8.8,1.08,10.51
PM,2013-12-01,-224.0,714.0,-1688.0,-115.0,-1262.0,744.1,804.7,0.57,3.49
STKL,2011-12-01,-55.8,-6.9,-7.0,32.0,17.8,-18.4,-18.9,-0.07,-2.53
LUV,2017-12-01,1174.0,-364.0,-136.0,218.0,-282.0,307.1,300.9,-0.62,15.61
SKM,2017-12-01,1048.2,98.3,-838.0,90.9,-654.6,2.6,27.4,-0.08,7.01
AMGN,2019-12-01,-552.0,-2146.0,-8630.0,6723.0,-4053.0,-1459.4,-1523.8,-1.87,46.4
BLL,2013-12-01,10.5,-14.2,-23.1,282.9,233.6,30.2,32.7,-0.19,3.45
VRTX,2018-12-01,1833.4,425.4,281.1,-139.6,554.9,441.6,443.6,2.27,15.85
KSU,2019-12-01,-88.5,157.8,-24.4,-51.5,81.9,136.1,139.7,1.61,57.71
GASS,2016-12-01,-10.4,-11.9,97.7,-115.1,-29.3,112.6,115.5,2.09,-0.05
WYNN,2019-12-01,-449.4,-60.4,154.2,623.3,726.3,23.7,51.7,4.44,39.96
CNK,2014-12-01,44.1,144.9,111.4,-70.6,181.6,22.1,31.6,1.39,2.25
