Company,Time,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price_Change
GWW,2015-12-01,-32.7,76.3,-459.3,649.3,267.5,8.2,22.9,1.78,-52.3
TNK,2011-12-01,-90.0,-34.4,97.7,-64.1,-0.8,-643.6,-650.8,-6.18,-70.56
CNC,2018-12-01,72.0,-255.0,-3331.0,4694.0,1108.0,319.8,374.9,-1.66,7.21
SPGI,2012-12-01,-474.0,-65.0,-199.0,747.0,506.0,2054.3,2056.8,0.05,11.75
COG,2014-12-01,-175.3,211.9,-746.6,539.7,4.9,78.2,82.0,-0.69,-9.15
DLTR,2020-02-01,2417.8,103.8,-203.5,890.1,790.4,-72.6,-54.3,-0.47,-13.3
VOD,2013-03-01,-10483.5,-3066.9,-19248.9,20891.2,-613.2,2184.0,2011.3,-0.19,0.4
AJG,2014-12-01,34.8,64.1,-1160.0,1083.5,20.3,-49.5,-25.2,0.16,0.15
TTWO,2017-03-01,75.6,146.6,195.5,-1.8,333.7,419.4,422.2,1.6,21.6
PPG,2019-12-01,-98.0,613.0,-245.0,447.0,848.0,307.8,316.5,2.71,31.26
STE,2012-03-01,84.8,31.7,-4.3,-40.2,-20.2,38.9,38.9,0.74,-2.92
PVH,2013-02-01,158.1,78.9,-4.2,828.6,924.5,229.8,223.2,0.32,44.66
NYT,2019-12-01,14.3,32.8,194.3,-299.1,-71.2,60.5,57.9,0.39,9.88
ISRG,2019-12-01,251.4,428.6,-104.8,-294.7,27.0,296.0,296.0,1.52,112.23
XRAY,2013-12-01,-1.0,48.1,-145.2,93.9,-8.1,-15.5,-18.0,0.29,8.87
MU,2016-09-01,-3175.0,-2040.0,3172.0,2463.0,3747.0,-2270.0,-2216.8,-3.67,2.8
OKE,2014-12-01,47.6,-8.6,75.8,391.5,458.7,791.9,845.3,2.31,-4.65
NXST,2013-12-01,-184.3,-52.6,-9.5,-28.4,-90.5,-27.5,-18.6,-1.88,45.14
XRX,2017-12-01,666.0,-1065.0,250.0,-1569.0,-2052.0,-437.7,-476.4,-4.04,6.15
YUM,2019-12-01,-248.0,139.0,-401.0,1682.0,1488.0,213.6,228.0,0.73,8.81
DOV,2015-12-01,94.6,-140.8,765.7,-836.4,-197.1,-1696.4,-1696.4,-0.54,-8.4
KO,2012-12-01,435.0,1171.0,-8880.0,-1113.0,-8647.0,-475.5,-488.0,0.32,1.27
VALE,2018-12-01,1305.3,515.8,2989.0,-2005.6,1962.1,-4792.6,-5206.8,0.13,1.1
PFE,2011-12-01,1752.0,8786.0,2335.0,-9433.0,1690.0,6939.2,6866.8,1.11,4.13
BLK,2011-12-01,274.0,338.0,423.0,685.0,1480.0,-1127.7,-1111.4,1.63,-12.34
GPC,2012-12-01,82.9,281.5,-420.4,15.3,-117.1,176.0,171.9,1.85,2.38
CPRT,2016-07-01,50.6,67.4,-91.0,-568.9,-597.5,-47.5,-42.9,-0.05,7.2
WU,2017-12-01,-810.3,-299.9,66.5,638.7,405.3,-170.6,-177.1,-0.45,-2.71
DXCM,2013-12-01,24.7,35.5,-7.5,1.6,29.6,28.7,28.9,0.54,21.82
LH,2019-12-01,-59.9,139.3,-1489.8,1137.2,-199.5,-134.4,-136.5,1.54,42.81
XRX,2012-12-01,-100.0,619.0,-86.0,114.0,653.0,-323.3,-334.5,2.14,-3.0
ABC,2019-09-01,-803.0,932.6,735.3,-843.6,824.3,1131.2,1135.4,4.75,-9.89
TELNY,2011-12-01,-1261.9,-4.6,255.8,-566.2,-471.4,-204.7,-167.0,0.08,-0.04
WST,2018-12-01,56.2,25.3,32.8,28.3,68.6,20.5,20.8,0.7,-0.64
NEE,2011-12-01,-34.0,240.0,5.0,-234.0,11.0,458.2,493.3,-1.23,8.89
ABC,2017-09-01,-1063.4,-1674.4,2671.2,-1877.9,-881.1,-530.3,-527.3,-8.04,1.97
BTI,2012-12-01,1354.0,88.2,458.2,-127.4,207.7,-218.3,-180.7,-0.08,3.19
LPX,2012-12-01,210.1,152.0,13.8,107.8,270.2,22.2,18.5,1.05,11.25
EA,2013-03-01,22.0,47.0,721.0,-485.0,285.0,-152.8,-154.2,0.38,1.22
FSI,2011-12-01,0.4,-2.1,-0.2,-0.6,-2.9,-2.1,-2.1,-0.17,0.97
HRB,2011-04-01,-73.1,-75.0,-141.6,-53.3,-275.6,-499.3,-496.5,-0.05,-1.02
VRSN,2012-12-01,177.1,201.7,-1715.6,574.4,-936.3,288.8,228.0,2.22,3.1
SEIC,2019-12-01,-4.5,-43.3,45.2,57.1,76.2,-7.0,-7.1,-0.2,19.28
PSMT,2018-08-01,-16.4,-3.5,-18.6,-5.8,-31.8,42.0,40.9,1.12,5.6
REGN,2012-12-01,972.1,67.1,-209.6,-481.8,-624.3,-284.2,-286.8,0.89,115.64
COP,2018-12-01,7112.0,5857.0,-11605.0,2997.0,-3100.0,3113.5,2886.6,3.26,7.46
NEM,2017-12-01,515.0,-159.0,-872.0,1149.0,122.0,317.2,297.1,0.19,3.37
DPZ,2018-12-01,84.1,52.9,-4.6,-125.7,-77.8,65.3,83.2,1.08,59.03
EA,2016-03-01,281.0,398.0,-14.0,-293.0,139.0,447.5,450.7,1.3,7.3
KMB,2015-12-01,-513.0,-539.0,-280.0,595.0,95.0,-976.0,-969.2,-1.38,11.76
LDOS,2020-01-01,86.0,224.0,179.0,-2.0,401.0,922.2,923.5,1.49,47.75
GOOGL,2016-12-01,3130.0,9464.0,-7454.0,-4107.0,-1833.0,7836.0,7848.5,13.27,14.44
SSRM,2016-12-01,189.3,96.6,1.0,-11.3,88.1,4.0,4.1,0.84,3.74
UNH,2014-12-01,-6.0,1060.0,555.0,-347.0,1349.0,-93.9,-150.1,1.06,25.79
RPM,2012-05-01,26.8,56.7,-161.4,-175.1,-338.7,-14.8,-10.7,0.18,2.86
WMT,2015-01-01,341.0,5307.0,1401.0,-4282.0,2354.0,6089.2,6167.9,1.97,10.3
STZ,2020-02-01,-3447.7,304.8,4300.8,-4624.7,-15.5,468.3,520.1,2.38,3.22
MO,2015-12-01,171.0,1180.0,-192.0,-2086.0,-1098.0,1872.9,1850.4,0.58,8.94
BP,2015-12-01,-10262.0,-13621.0,2274.0,731.0,-10617.0,-8088.7,-8060.0,-0.53,-6.84
HAS,2011-12-01,-12.4,28.1,-3.4,-205.1,-177.9,135.1,139.3,0.29,-15.29
ROL,2012-12-01,10.6,-12.7,-13.5,18.4,-6.6,-2.3,-2.5,-0.04,-0.03
DGICA,2013-12-01,3.2,21.0,-23.3,3.6,1.2,-79.9,-80.4,0.78,1.86
PHM,2019-12-01,-5.3,-372.2,-184.3,-153.3,-709.7,-248.4,-248.4,-1.19,12.81
OXY,2016-12-01,7255.0,33.0,680.0,-2286.0,-1573.0,-2966.3,-2882.5,0.85,3.65
GASS,2012-12-01,20.5,6.0,-12.3,-8.7,-15.0,-0.6,-1.4,-0.09,4.07
XEL,2018-12-01,113.0,-4.0,-690.0,760.0,66.0,-640.2,-617.1,-1.4,1.16
GD,2014-12-01,176.0,771.0,-739.0,-2950.0,-2918.0,1145.1,1145.2,2.39,42.07
ASH,2015-09-01,76.0,-310.0,-1832.0,1004.0,-1183.0,-329.9,-332.0,-3.47,-1.7
ALK,2017-12-01,163.0,204.0,1493.0,-2083.0,-386.0,-697.7,-662.8,-1.15,-15.22
NVR,2013-12-01,85.9,5.8,-11.9,-953.9,-960.0,81.5,90.7,2.74,106.01
SEE,2012-12-01,-1560.5,17.6,2574.3,-2653.0,-52.0,211.7,306.8,-0.12,0.3
TJX,2016-01-01,62.6,-51.5,-108.5,-635.9,-742.3,-171.1,-168.1,0.02,2.65
JKHY,2014-06-01,19.1,32.5,-34.6,-26.1,-28.1,12.3,9.0,0.25,12.3
ALK,2015-12-01,243.0,554.0,-389.0,-226.0,-61.0,288.7,276.2,3.39,20.75
PM,2019-12-01,-726.0,612.0,-813.0,1590.0,2101.0,1625.9,1589.0,0.77,18.33
CL,2014-12-01,-61.0,94.0,31.0,-28.0,49.0,-73.9,-65.1,0.06,3.98
MCK,2015-03-01,213.0,-24.0,4369.0,-4587.0,-589.0,2634.8,2681.1,-0.8,49.63
JNPR,2019-12-01,-221.9,-332.2,-1093.0,-260.2,-1676.0,-79.1,-88.2,-0.82,-2.28
SBUX,2015-09-01,689.3,3141.3,-702.6,-1633.2,689.0,3414.9,3418.8,2.0,19.11
TXT,2015-01-01,102.0,398.0,-1655.0,1077.0,-187.0,127.2,142.9,1.48,5.8
NUE,2019-12-01,-1089.7,415.4,-764.1,27.8,-314.1,-81.4,-83.8,-0.1,4.47
MKC,2018-11-01,456.0,5.9,4349.8,-4507.1,-158.6,-80.8,-31.5,-0.03,47.82
UNFI,2016-07-01,-12.9,247.7,-208.8,-38.1,-0.1,285.0,286.1,6.67,1.83
NI,2016-12-01,45.0,-653.5,-3552.7,4202.1,-4.6,-420.3,-431.3,-2.39,2.63
JKHY,2017-06-01,-19.3,-9.1,-5.6,137.2,122.5,22.7,22.5,0.15,16.6
CENT,2011-09-01,-17.5,-84.2,-14.9,14.2,-85.2,-102.3,-99.6,-1.38,-3.45
LNT,2017-12-01,85.8,128.8,-313.2,203.3,18.9,-234.5,-222.4,-0.58,4.72
SEIC,2015-12-01,13.0,32.7,-24.6,-81.1,-77.0,-18.0,-18.0,0.16,12.36
PEG,2013-12-01,-32.0,371.0,-176.0,374.0,569.0,758.1,745.0,0.27,1.44
DLTR,2013-02-01,131.0,-8.2,-175.8,319.8,134.5,7.7,7.7,-0.21,2.79
BSX,2016-12-01,586.0,491.0,1299.0,-1482.0,310.0,1510.4,1478.5,0.26,3.19
SO,2013-12-01,-706.0,1199.0,-574.0,93.0,718.0,-178.9,-200.1,0.69,-1.7
RAD,2015-02-01,1859.8,-53.0,-228.8,234.4,-47.5,-96.4,-113.3,-3.83,34.2
FDS,2019-08-01,85.7,41.4,-7.6,105.7,137.3,-8.6,-7.4,0.55,42.7
DXCM,2012-12-01,-9.8,-3.0,74.8,-64.0,7.8,2.2,2.2,-0.04,4.28
KR,2015-01-01,209.0,642.0,1711.0,-2649.0,-296.0,276.2,304.3,0.2,13.55
GOOGL,2018-12-01,18074.0,10880.0,2897.0,-4881.0,8189.0,-3154.5,-3151.4,-1.65,-8.44
SSP,2015-12-01,-93.0,-93.2,100.5,6.1,13.6,-123.7,-119.6,-1.67,-1.73
SJR,2018-08-01,-651.6,-166.0,-940.4,929.7,-176.0,512.9,497.8,0.27,-2.14
DRI,2011-05-01,71.8,-9.4,-123.8,-231.0,-364.2,-151.9,-151.8,-0.85,6.94
ALL,2017-12-01,1677.0,321.0,1316.0,-1397.0,240.0,6261.9,6286.8,1.21,30.59
GD,2011-12-01,-98.0,227.0,-1566.0,1025.0,-314.0,-631.5,-639.0,0.7,-4.55
MCD,2018-12-01,732.0,1415.5,-3017.1,-638.8,-2838.2,-1183.2,-1145.8,0.85,5.45
INTU,2019-07-01,228.0,212.0,-29.0,-400.0,-209.0,490.9,487.8,0.57,73.07
SINA,2019-12-01,-196.1,433.0,-728.4,1341.7,1057.1,157.4,165.4,9.56,-13.71
ECL,2016-12-01,226.9,-60.1,142.2,282.7,404.4,151.0,170.9,0.04,2.84
SCL,2014-12-01,-15.7,-67.7,58.4,-91.8,-104.6,-29.7,-28.8,-3.38,-25.55
BCPC,2012-12-01,1.2,8.9,-7.4,-9.2,-7.5,-3.1,-3.2,0.03,-4.09
DVN,2019-12-01,-3419.0,-633.0,-134.0,564.0,-364.0,-26.3,-43.1,-0.76,3.43
DLTR,2016-01-01,-316.8,-140.3,-6663.4,6079.4,-724.4,-1016.9,-864.1,-1.55,10.22
BIIB,2012-12-01,145.6,152.2,700.0,-557.6,301.3,35.6,37.8,0.56,33.45
L,2019-12-01,296.0,-2481.0,773.0,1691.0,-2.0,-1536.7,-1526.2,-7.8,6.97
MGEE,2015-12-01,-9.0,12.4,22.9,-16.5,18.7,73.3,73.7,0.95,0.79
YORW,2011-12-01,0.2,2.7,1.1,-2.4,1.4,1.6,1.8,0.3,0.35
OXY,2019-12-01,-4798.0,-294.0,-25821.0,25295.0,-820.0,-3527.4,-3269.2,-2.28,-20.17
CDNS,2016-01-01,93.5,61.5,153.5,-915.3,-711.4,120.3,127.8,0.18,1.57
NXST,2016-12-01,13.8,79.0,339.2,642.4,1060.6,53.6,74.0,2.55,4.6
PKG,2019-12-01,-41.6,27.3,61.6,84.5,173.4,179.1,177.3,1.9,28.53
WAT,2015-12-01,37.5,61.6,2.3,24.7,84.1,8.3,9.6,0.9,21.86
COP,2013-12-01,728.0,2219.0,5322.0,-2652.0,4790.0,12227.3,12166.7,0.69,12.66
LOW,2015-01-01,412.0,818.0,198.0,-792.0,225.0,1105.6,1132.5,1.11,21.47
UAL,2014-12-01,561.0,1190.0,-309.0,-624.0,257.0,2067.2,2035.4,3.76,29.06
OKE,2011-12-01,26.0,516.2,-1237.2,757.3,36.2,-350.7,-347.7,-1.11,13.67
AJG,2011-12-01,-30.0,54.5,-218.6,161.8,-2.5,116.5,120.3,0.18,4.36
IP,2015-12-01,383.0,-497.0,-879.0,485.0,-910.0,-1346.5,-1367.1,-1.38,-15.88
COO,2017-10-01,99.0,84.0,37.4,-226.5,-96.4,120.8,125.3,2.18,64.22
PSMT,2016-08-01,-0.4,32.5,10.9,-0.1,52.0,37.2,36.9,1.47,-1.48
VMC,2014-12-01,180.5,-95.5,534.5,-409.8,29.2,105.9,131.4,-0.34,6.31
SYY,2013-06-01,-129.2,107.4,-8.3,-431.6,-325.7,485.1,492.2,0.65,4.35
GLW,2016-12-01,2356.0,-292.0,4347.0,-2699.0,1600.0,-104.8,-93.0,0.08,5.99
ATO,2012-09-01,9.1,4.1,18.1,-88.8,-66.7,232.0,227.3,-1.18,3.34
NOC,2016-12-01,53.0,651.0,-374.0,1489.0,1766.0,58.7,58.8,1.65,43.77
HFC,2013-12-01,-991.4,-793.5,184.4,-387.2,-996.4,-975.1,-997.7,-4.27,4.79
UAA,2016-12-01,24.4,352.1,466.4,-235.3,586.2,184.9,192.1,0.61,-12.18
DAL,2018-12-01,730.0,1991.0,873.0,-996.0,1868.0,-1230.4,-1283.5,1.1,-6.1
NI,2017-12-01,-203.0,-61.1,-205.5,278.2,11.6,129.8,135.0,-0.81,3.53
IP,2018-12-01,-132.0,1469.0,-178.0,-1647.0,-414.0,974.0,959.0,3.15,-17.58
HFC,2011-12-01,919.4,1055.1,441.7,-251.6,1245.3,606.5,609.0,5.44,3.24
ELP,2017-12-01,36.8,-155.2,294.3,31.6,170.7,-607.0,-599.8,-0.3,-0.51
LB,2014-02-01,150.0,-103.0,-124.0,1136.0,908.0,-247.2,-248.4,-0.71,11.11
ALXN,2016-12-01,255.0,411.1,3297.6,-3821.3,-110.2,258.7,279.1,1.54,-68.4
PFG,2014-12-01,231.4,881.7,53.6,362.2,1297.5,-602.0,-513.6,2.73,2.63
AMX,2018-12-01,1183.7,1561.9,-413.5,-1290.9,-186.4,805.4,849.8,0.01,-2.9
EMN,2017-12-01,530.0,272.0,12.0,-168.0,122.0,165.2,156.4,1.81,17.43
AJG,2016-12-01,40.0,-36.5,-116.4,20.1,-165.4,-313.2,-308.9,-0.98,11.02
LNC,2019-12-01,-755.0,-4629.0,316.0,3814.0,-499.0,15245.2,15263.2,-22.39,7.7
INTU,2011-07-01,60.0,15.0,1494.0,-539.0,973.0,-139.1,-139.7,-0.15,6.95
AMD,2011-12-01,20.0,794.0,1010.0,-490.0,1314.0,528.5,525.6,0.97,-2.78
MMM,2016-12-01,217.0,242.0,1414.0,-978.0,699.0,1214.6,1245.9,0.74,27.93
SXT,2017-12-01,-36.7,-147.3,146.8,-25.4,-10.4,-16.7,-16.0,-2.76,-5.43
UTL,2015-12-01,1.6,31.1,-11.3,-18.5,1.3,-2.1,-1.2,1.42,-0.79
STE,2017-03-01,-0.8,169.4,625.3,-827.4,-47.1,35.3,36.4,1.13,-1.59
SFTBF,2020-03-01,-20573.8,-177.3,-13631.1,7293.8,-9280.0,-110576.3,-112401.3,0.29,-13.19
CRM,2013-01-01,-258.8,145.4,-449.2,258.6,-43.0,334.2,329.1,0.21,13.83
FLIR,2014-12-01,23.3,-128.8,22.8,-85.9,-231.8,-72.0,-71.6,-0.96,2.21
PVH,2020-02-01,-329.1,167.8,-110.5,26.9,93.3,81.2,80.7,2.92,-40.73
INTC,2017-12-01,-715.0,302.0,10055.0,-2736.0,7621.0,5931.5,5877.2,-0.38,9.89
YUM,2011-12-01,161.0,202.0,-427.0,-1076.0,-1301.0,-17.5,-24.3,0.15,7.16
DHI,2011-09-01,-173.3,-690.5,294.7,467.1,71.3,-585.1,-613.8,-2.16,-2.08
ROST,2016-01-01,96.0,-46.6,276.5,-438.3,-208.4,160.2,166.3,0.62,10.41
DE,2014-10-01,-375.6,271.6,1939.7,-694.8,1431.2,-783.7,-796.5,0.11,3.7
ALB,2015-12-01,201.6,-131.8,-2114.5,-2087.7,-4288.5,-341.7,-319.8,-3.65,-4.12
BSX,2011-12-01,1506.0,683.0,1244.0,-1220.0,705.0,750.6,680.6,0.44,-2.23
PWR,2018-12-01,-21.7,-13.1,169.4,-244.4,-89.9,48.2,58.2,-0.48,-9.01
LYV,2015-12-01,58.3,15.7,101.2,-270.1,-161.7,49.7,52.7,0.01,-1.54
CHRW,2014-12-01,33.8,165.6,-360.0,221.3,14.9,-185.6,-175.8,1.38,16.54
PRGO,2015-12-01,-138.1,-90.9,-727.2,-2359.6,-3164.4,-854.3,-929.0,-1.15,-40.13
PSMT,2013-08-01,16.7,40.7,-19.2,3.3,16.2,2.9,2.2,0.79,12.83
FDX,2018-05-01,1575.0,-256.0,-696.0,-301.0,-1139.0,-972.6,-943.8,-3.0,55.28
CPYYY,2015-12-01,475.6,1343.2,113.6,-929.5,505.2,478.7,488.6,0.43,-4.52
GLUU,2014-12-01,28.0,40.2,-21.3,18.4,36.2,38.3,38.3,0.48,0.02
AAPL,2012-09-01,15811.0,13327.0,-7808.0,-3142.0,2377.0,10305.8,10305.8,1.68,40.83
DTE,2018-12-01,-14.0,563.0,-785.0,233.0,11.0,-188.8,-174.4,0.56,0.84
UNH,2019-12-01,1853.0,2750.0,-314.0,-1260.0,1234.0,2871.1,3061.1,3.07,44.86
TPR,2017-07-01,130.5,95.2,1403.0,754.4,2246.7,-56.3,-60.1,0.77,4.03
SCCO,2011-12-01,782.3,159.2,-619.1,-2411.6,-2765.0,-15.7,0.5,-0.04,-18.31
EMN,2014-12-01,-414.0,136.0,-3634.0,3498.0,-11.0,-353.8,-343.3,0.33,-4.84
GPC,2015-12-01,-5.6,369.3,123.1,-350.7,133.1,383.3,381.1,2.47,-20.68
0,2017-12-01,62.8,42.5,216.2,-269.2,-10.5,-311.6,-315.5,0.27,10.96
XOM,2011-12-01,10600.0,6932.0,2039.0,-1332.0,7707.0,2790.2,2782.7,0.59,11.64
MKTX,2016-12-01,30.2,-34.8,-15.2,-9.9,-62.3,29.7,29.7,-1.04,35.33
IT,2012-12-01,29.0,24.2,-12.7,114.0,134.5,26.9,26.4,0.3,11.25
UAA,2018-12-01,2.0,390.7,80.1,-296.7,182.5,567.7,567.1,1.13,3.24
CI,2011-12-01,-19.0,-252.0,72.0,2593.0,2404.0,-523.9,-511.3,-1.34,5.34
EXPE,2017-12-01,96.0,296.0,-863.0,1379.0,994.0,383.7,389.4,2.17,6.49
MHK,2017-12-01,41.2,-151.7,-568.6,634.6,-76.8,-529.6,-535.6,-5.21,76.22
GLW,2019-12-01,-106.0,-888.0,996.0,1948.0,2041.0,-259.7,-240.8,-0.69,-1.1
BA,2014-12-01,861.0,679.0,7621.0,-4344.0,3898.0,-8463.4,-8496.5,1.27,-6.51
L,2011-12-01,-227.0,4012.0,-2567.0,-1365.0,79.0,1549.5,1552.6,8.8,-1.26
LNC,2012-12-01,1092.0,-7.0,-1732.0,-310.0,-2049.0,852.3,839.1,0.37,6.48
SLGN,2017-12-01,116.3,-4.8,-1017.4,1126.3,104.1,-52.9,-26.5,0.26,3.8
K,2019-12-01,-376.0,-360.0,1722.0,-1339.0,36.0,-284.0,-285.8,-1.03,12.15
SAM,2017-12-01,11.7,-18.2,13.1,-17.2,-22.2,-9.9,-9.9,0.24,21.25
XLNX,2015-03-01,17.8,5.5,-15.6,-421.1,-431.2,-41.5,-36.3,0.09,-11.97
SEE,2018-12-01,-621.8,3.6,-2052.8,1411.4,-529.7,-261.6,-267.1,0.34,-14.46
BAX,2018-12-01,944.0,303.0,376.0,-2696.0,-2182.0,-129.1,-124.2,0.42,1.18
AEE,2018-12-01,292.0,52.0,-132.0,103.0,23.0,-266.2,-257.8,-0.37,6.24
IFF,2012-12-01,-12.8,134.6,16.9,126.1,279.2,139.3,137.5,1.67,14.12
CTXS,2019-12-01,106.1,-252.2,903.5,-232.5,423.4,-33.9,-26.4,-1.61,8.44
ATNI,2018-12-01,-11.7,-29.8,85.0,-13.1,41.5,34.4,33.7,-2.31,16.27
CTXS,2015-12-01,67.7,188.5,345.1,-398.8,129.0,100.6,97.8,1.9,9.44
MAS,2016-12-01,138.0,-21.0,65.0,-588.0,-563.0,-24.3,-21.9,-0.06,3.32
PWR,2013-12-01,95.3,340.4,-306.4,-1.4,14.7,384.5,383.7,1.49,4.27
CLNE,2011-12-01,-45.1,-16.4,-103.8,315.2,194.8,-53.2,-48.3,-0.51,-1.38
IBM,2017-12-01,-6119.0,-360.0,3847.0,-501.0,3973.0,-1097.6,-1107.0,0.34,-12.57
ECL,2018-12-01,-75.5,186.4,697.0,-650.0,251.6,-5.5,-15.5,0.74,13.17
EQT,2018-12-01,-3753.1,1338.6,223.0,-674.1,887.4,-915.8,-877.7,-0.51,-16.38
PFE,2014-12-01,-12868.0,-600.0,4890.0,4788.0,9058.0,-1039.4,-1073.1,0.06,0.52
HRB,2016-04-01,-99.4,-82.0,478.4,-1315.9,-920.2,-718.4,-703.6,-0.04,-10.0
GLUU,2012-12-01,0.6,0.0,-13.7,-15.2,-29.2,-3.1,-3.1,-0.05,-0.86
ED,2019-12-01,-39.0,439.0,1689.0,-2079.0,49.0,406.7,516.0,1.7,14.01
ENIA,2015-12-01,-70.8,-80.8,-1222.0,616.6,-691.8,-5421.4,-5447.6,0.0,-2.09
GE,2019-12-01,17376.0,3794.0,-9341.0,15674.0,10705.0,45567.4,45379.9,0.54,3.88
RSG,2016-12-01,-137.3,168.1,518.3,-617.1,69.3,-93.0,-84.8,0.58,13.06
LUV,2018-12-01,-892.0,964.0,370.0,-790.0,544.0,1243.2,1260.6,2.29,-18.97
MU,2012-08-01,-1199.0,-370.0,-270.0,1692.0,1052.0,161.0,171.4,0.49,1.17
PXD,2018-12-01,145.0,1143.0,-818.0,-174.0,151.0,-755.8,-773.2,-0.07,-41.33
IT,2011-12-01,40.6,50.1,-8.2,-15.0,19.0,35.8,31.6,0.3,1.57
INCY,2017-12-01,-417.3,-397.8,-117.5,645.6,130.3,-291.4,-279.7,-1.98,-5.56
WRB,2015-12-01,-145.2,146.5,637.5,-485.5,254.5,10546.1,10547.8,0.79,2.2
CME,2017-12-01,2529.3,19.1,126.2,-364.8,-219.5,-248.8,-252.8,0.07,35.43
AZO,2012-08-01,81.4,-67.5,-55.8,130.4,6.2,-90.1,-86.3,-0.89,54.64
NVDA,2020-01-01,-1345.0,1018.0,10242.0,2074.0,13334.0,1425.0,1421.3,1.84,92.68
GILD,2015-12-01,6007.0,8432.0,-10652.0,-2859.0,-5090.0,6251.5,6424.0,5.94,6.93
PHM,2018-12-01,574.8,786.6,8.3,449.6,1244.6,221.8,221.8,2.83,-7.26
DVA,2013-12-01,97.4,672.5,3955.6,-4355.4,272.5,309.0,391.8,2.63,8.1
PCAR,2014-12-01,187.5,-252.1,619.1,-794.3,-490.2,2063.0,2061.2,0.23,8.88
MO,2013-12-01,355.0,490.0,-318.0,473.0,645.0,-3474.1,-3521.0,0.26,6.95
SWK,2018-12-01,-622.1,592.4,577.7,-856.8,178.4,-348.2,-313.6,3.65,-49.95
SXT,2015-12-01,33.2,-61.2,3.3,48.5,-8.8,-33.1,-32.5,-1.21,2.48
LPX,2014-12-01,-252.5,-295.4,-46.1,122.5,-220.0,-255.5,-259.4,-2.14,-1.95
ROST,2013-02-01,129.6,159.5,46.1,-24.6,181.0,145.8,143.6,0.38,3.59
DAL,2017-12-01,-990.0,-2192.0,-3111.0,3530.0,-1773.0,783.4,788.4,-3.52,6.81
LMT,2016-12-01,1568.0,88.0,8749.0,-7734.0,1103.0,723.6,861.1,0.38,32.79
ETR,2019-12-01,392.5,431.4,-404.2,218.0,245.0,-205.2,-178.8,1.12,33.73
SEE,2013-12-01,1537.2,249.8,-190.5,309.4,336.8,475.0,475.1,1.31,16.54
LPX,2019-12-01,-400.0,-352.0,101.0,-400.0,-648.0,-319.3,-317.4,-2.11,7.45
FISV,2011-12-01,-24.0,-52.0,-547.0,173.0,-426.0,-5.3,-11.6,-0.04,0.05
INTU,2016-07-01,614.0,-129.0,553.0,-577.0,-129.0,156.5,161.5,-1.15,5.22
MCO,2014-12-01,184.2,91.8,-303.0,-565.7,-864.1,78.5,88.0,0.45,17.34
HLF,2018-12-01,82.7,57.6,11.3,-507.9,-519.1,55.6,68.2,0.91,25.09
PFE,2016-12-01,255.0,1504.0,-4811.0,1181.0,-1339.0,-850.0,-858.1,0.19,0.2
HAIN,2016-06-01,-117.6,32.4,-83.0,-28.4,-82.2,19.3,18.6,0.33,-16.11
TT,2019-12-01,73.3,511.7,-1150.6,1649.3,1046.2,244.9,258.7,2.67,41.69
OII,2017-12-01,141.8,-202.9,57.5,50.2,-84.9,-286.8,-285.3,-1.88,-7.07
WLTW,2017-12-01,118.0,-71.0,-530.0,296.0,-178.0,-211.7,-209.2,-0.99,28.41
WMB,2012-12-01,483.0,-1604.0,-3918.0,5378.0,-144.0,-590.9,-630.9,-2.21,5.75
EIG,2012-12-01,58.3,88.8,-384.4,51.4,-244.1,102.5,102.4,3.0,2.49
ACN,2014-08-01,-340.4,183.0,99.8,-99.8,298.0,-297.7,-295.4,0.45,8.81
JNPR,2018-12-01,260.7,-398.2,867.8,-173.8,268.2,-613.0,-611.8,-0.89,-1.59
V,2012-09-01,-1506.0,1137.0,-115.0,649.0,1687.0,2970.0,2970.0,0.42,12.14
DISH,2011-12-01,531.2,434.1,-1217.8,221.5,-566.4,239.2,303.7,1.75,10.08
DEO,2016-06-01,-761.0,-624.2,2198.2,-997.0,803.6,697.5,581.5,-0.12,-3.16
SNA,2013-12-01,44.2,63.3,-77.3,-10.8,-25.8,138.4,138.8,1.24,30.53
HOLX,2016-09-01,199.2,1.4,17.7,276.7,301.9,2.3,-29.1,-0.01,-0.3
VAR,2019-09-01,142.0,-83.1,-457.0,766.2,229.8,-65.9,-64.7,-1.0,7.16
OII,2011-12-01,35.2,-153.3,-290.9,222.2,-222.0,-129.9,-133.0,-1.86,9.32
AFL,2016-12-01,126.0,-789.0,1042.0,568.0,817.0,5545.3,5535.3,-0.59,4.85
CMCL,2011-12-01,10.4,10.5,-1.1,-0.5,8.9,9.7,9.8,0.94,-3.16
SSP,2016-12-01,149.7,137.6,-12.0,-55.1,70.3,100.3,102.2,1.6,0.33
NAT,2015-12-01,127.8,116.9,-110.7,-107.1,-105.9,-38.5,-39.3,0.04,5.42
HLF,2011-12-01,122.1,122.6,-23.0,-77.0,28.5,78.8,77.4,0.45,8.75
CNC,2016-12-01,207.0,1193.0,-1656.0,2412.0,1948.0,2691.8,2800.5,2.71,-4.66
STE,2013-03-01,23.9,78.4,-385.8,342.3,33.4,9.9,12.2,0.99,9.99
DAL,2011-12-01,261.0,2.0,528.0,950.0,1480.0,-95.2,-129.0,0.1,-4.51
