Company,Embedding_Dim0,Embedding_Dim1,Embedding_Dim2,Embedding_Dim3,Embedding_Dim4,Embedding_Dim5,Embedding_Dim6,Embedding_Dim7,Embedding_Dim8
AEP,-0.5487532615661621,0.20722784101963043,0.03770719841122627,0.4729742407798767,1.2134588956832886,2.4681921005249023,-0.143618643283844,1.9481481313705444,-0.7810195684432983
AES,-1.5276106595993042,1.6883023977279663,-1.0458301305770874,0.577645480632782,0.8396328091621399,3.989919424057007,-0.043517518788576126,2.5608532428741455,-1.1942058801651
AFL,0.5762255191802979,-1.5912714004516602,0.34950393438339233,-0.29236045479774475,0.40706712007522583,-1.0579192638397217,4.0248799324035645,2.409054756164551,0.8291956186294556
AGI,-0.7605189681053162,1.925628900527954,0.6360631585121155,0.32068735361099243,3.4946370124816895,0.05161843076348305,-1.3561084270477295,-0.4505176544189453,-1.5171067714691162
AIG,0.18599295616149902,0.4971419870853424,1.6969337463378906,-0.6589864492416382,2.367828130722046,-2.8815464973449707,4.199926853179932,-0.09911787509918213,1.4089457988739014
AIZ,0.2792728543281555,0.559886634349823,1.71158766746521,-0.5555689930915833,2.3249011039733887,-2.8511133193969727,4.032663822174072,-0.14984862506389618,1.4740233421325684
AJG,0.22101451456546783,0.3925432860851288,1.9619665145874023,-0.6281790733337402,2.6690833568573,-3.189558982849121,3.609790563583374,-0.36185604333877563,1.9187816381454468
AKAM,2.2400925159454346,-0.25989148020744324,1.6932655572891235,2.569401741027832,3.57230806350708,-1.1273753643035889,-1.9895508289337158,0.9203425049781799,1.9414294958114624
ALB,0.41483360528945923,-1.1867802143096924,-1.5559359788894653,0.0020165867172181606,1.3273406028747559,0.5342761278152466,-0.2412509024143219,0.7505447268486023,0.5564982295036316
ALGN,1.2884092330932617,-0.9487771391868591,-0.5523653030395508,-2.006434440612793,0.18707077205181122,-0.5961165428161621,2.290726900100708,1.3844767808914185,1.0892689228057861
ALK,-0.18247202038764954,1.6391152143478394,-1.1527886390686035,-2.7263026237487793,2.7656397819519043,-1.1908677816390991,0.29807043075561523,-1.3603097200393677,-0.37421756982803345
ALL,0.9775205254554749,0.47840020060539246,0.5926679372787476,0.6044958829879761,1.8558214902877808,-1.8070068359375,2.539677143096924,-0.16258151829242706,0.7274119853973389
ALXN,1.5880217552185059,0.4689192771911621,-1.158023715019226,-0.10629978030920029,-1.0788933038711548,0.09888622909784317,1.9763110876083374,2.3673319816589355,2.1776156425476074
AMAT,-0.18517783284187317,0.5427417159080505,-0.9008790850639343,-0.304914265871048,1.0974557399749756,-2.717219591140747,0.8170010447502136,1.4783369302749634,2.8042280673980713
AMD,0.029243942350149155,0.2588313817977905,-0.7102651596069336,-0.10476136207580566,0.9464747309684753,-2.211108684539795,0.49987271428108215,1.382010817527771,2.335317850112915
AME,-2.3139569759368896,-0.22233973443508148,-3.366992950439453,-1.086883544921875,1.459620714187622,2.878983497619629,1.2464131116867065,0.6380078196525574,-2.022867202758789
AMGN,1.5747061967849731,0.41650500893592834,-1.4608677625656128,0.06773833930492401,-1.0071135759353638,0.2541561424732208,1.7827849388122559,2.4795403480529785,2.220822334289551
AMP,0.7032508850097656,-1.1384644508361816,2.146693468093872,-3.084153890609741,1.760296106338501,1.5737800598144531,0.936859667301178,0.051690723747015,0.3591087758541107
AMX,0.2641332745552063,1.8555471897125244,0.41995367407798767,3.0873160362243652,1.8895705938339233,-0.9985410571098328,-2.0560808181762695,2.7379143238067627,0.08522655069828033
AMZN,-1.2060045003890991,2.1353633403778076,-1.164093017578125,1.7748103141784668,0.867588996887207,-1.0261179208755493,-1.715032696723938,2.293076276779175,-0.18551546335220337
