Company,Embedding_Dim0,Embedding_Dim1,Embedding_Dim2,Embedding_Dim3,Embedding_Dim4
KSU,1.969488144,-4.259489059,-0.515571117,-1.077587962,-0.822300255
KT,-4.159583569,-1.787510991,-1.371643782,-0.068568334,1.456159472
L,0.68562597,0.433580637,-1.889113069,-1.197878122,-3.072945118
LB,-0.191990614,-3.40188694,2.238966227,0.727565229,-2.700802326
LBTYA,-5.328929901,-1.337180614,-2.097599506,0.167966247,1.307736754
LDOS,-3.76328373,-1.219496846,-2.005316973,-2.378457069,-1.007373095
LEG,0.468659371,-0.512324333,0.435780764,0.12273366,-5.407355785
LEN,1.112345815,0.634154499,-0.235156909,2.165811777,-3.706110954
LH,-0.104817845,-2.522936583,-1.230165958,-2.008660316,-0.859517753
LKQ,2.415279627,-4.560679436,1.546246767,0.014315989,-3.089160442
LLY,2.89712286,-1.178741693,-1.586797714,-0.715392709,-3.011048317
LMT,-0.589725435,-3.271366835,-2.147415161,-1.901198149,0.595845044
LNC,0.601699233,-1.634984016,-2.156337261,-3.309999704,-2.775780439
LNT,-0.800060272,1.544761658,-2.360566139,1.256254554,-2.386068583
LOW,0.783359587,-0.120884873,0.442040652,1.042410493,-5.451791763
LPX,0.034835808,-2.811368227,-3.817460775,-1.003715038,1.533074021
LRCX,-4.309846878,-1.639499426,0.241630495,-0.306664616,-1.729201436
LUV,1.123311281,-4.13654232,-1.924553394,-1.671038151,0.277201682
LYV,-1.521202683,-1.631898999,-2.007488489,2.009428501,2.922881603
MA,-2.007776022,0.218925685,-1.784341455,-2.301970482,-3.460236073
MAR,-1.748937249,-4.764503479,-0.909516275,0.378352731,2.587031841
MAS,1.325369358,0.498908788,-0.114249825,2.328307629,-3.581842899
MBT,-4.210250854,-1.451609254,-1.513757229,-0.497879028,0.8007465
MCD,1.343825102,-3.379005432,-0.690145254,1.35503757,1.340566039
MCHP,-3.538047314,-1.300320983,0.196797729,-0.250299543,-1.382151723
MCK,-0.39376387,-2.127356052,-0.545641899,-2.196957111,-2.09940052
MCO,-1.46446228,-0.656621754,-1.497295499,-1.950118303,-1.619634867
MDLZ,1.468433142,-2.136450768,-0.904433906,1.605975032,0.915035009
MED,1.875195026,-2.581311703,0.789524555,2.892881632,-0.376646817
MET,0.508175969,-1.602000594,-2.003645897,-3.208888769,-2.659760237
MGEE,-0.831939757,1.451681495,-2.183549404,1.267451286,-2.121246815
MGM,-2.154156446,-5.578564167,-1.079201937,-0.550777078,2.398367405
MHK,0.140972719,-0.547457695,0.587416291,-0.001031199,-5.484002113
MKC,1.407813668,-2.103461504,-0.895654559,1.51350224,0.944584548
MKTX,-1.332423329,-0.758605659,-1.293345809,-1.833551049,-1.473512173
MLM,5.682035923,1.347509384,-2.321595192,6.170895576,-7.523064137
MMC,-1.547351837,-0.11805173,-4.748389244,-3.204955578,-2.376340389
MMM,-0.457719088,-1.06673944,0.558709741,0.68960768,-0.710927188
MNST,1.67102325,-2.190934658,-1.10563314,1.869128823,0.993413866
MO,0.530369401,-1.504616976,0.737508833,6.935401917,-1.703561783
MRK,2.873958826,-1.230575323,-1.48235774,-0.662829041,-3.014093637
MRO,1.191763401,-0.114640616,-3.435806036,-0.73939842,-1.315310836
MRWSY,1.220314384,-2.604743242,0.018587412,3.601015568,0.885888338
MSCI,-1.429497123,-0.792342961,-1.414164543,-1.956096292,-1.480199814
MSEX,3.003437281,-1.397718787,-1.765038729,3.70515871,0.31193924
MSFT,-3.452755213,-0.905523121,-0.345456362,1.196712255,1.196031928
MSI,-3.859275341,-1.191397071,-1.910355687,1.840773702,2.787931204
MTD,-0.858806133,-1.957071185,-1.626553774,-2.270447493,-0.754335046
MTRN,-3.156149864,1.031089664,-0.721527755,2.992520571,-2.396234989
MU,-3.314436436,-1.20999217,0.231467068,-0.125094131,-1.269406438
NAT,1.792480826,-1.453388691,-3.54974699,-1.576536775,-1.328481317
NBL,1.089715958,-0.156104177,-3.38545537,-0.828129411,-1.329503417
NDAQ,-1.457527399,-0.840555191,-1.464587927,-2.012982368,-1.558786392
NEE,-0.911636651,1.575981736,-2.329790115,1.253256083,-2.362006903
NEM,-1.949643493,0.929988921,-0.891624451,3.748851538,-1.133765578
NEWT,-1.687793374,-1.738375068,0.215173081,-2.123166084,-3.871966839
NFLX,-3.334509373,-3.664698362,-1.125201225,0.428751945,2.738498926
NGG,-0.289574444,1.432478786,-2.1864779,1.313693404,-2.220643282
NGS,1.462893009,-0.140840665,-3.79600811,-1.025390029,-1.773203731
NI,-0.130803317,1.463225961,-2.225685835,1.37236464,-2.412844419
NKE,-4.61794281,-5.208189487,1.539303064,-0.030990791,0.023213299
NLOK,-6.244606018,0.366529942,-2.800084352,-0.275802702,-2.237181187
NNA,2.144262552,-1.58313632,-3.488418579,-1.648696899,-1.62416482
NOC,-0.639524877,-3.457868338,-2.108394384,-2.0286057,0.535760403
NOV,1.373450398,-0.127316803,-3.870182037,-1.103857636,-1.896922588
NRG,-0.921902061,1.540825129,-2.269662142,1.26741159,-2.177522898
NSC,1.950616837,-4.450349331,-0.554852545,-1.196717143,-0.824190855
NTAP,-2.80588603,0.221514583,-0.772110343,0.505679727,-0.475962192
NTES,-3.412228823,-2.722934008,0.372805983,2.936719418,2.155172586
