Company,Time,Total Assets,Total Liabilities,Total Equity,Total Shares Out. on Filing Date,Book Value / Share,Tangible Book Value,Tangible Book Value Per Share,Total Debt,Net Debt,Total Revenues,Operating Income,Revenue Per Share,Basic EPS,Normalized Basic EPS,Dividend Per Share,EBITA,EBIT,Normalized Net Income,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price_Change
VALE,2016-12-01,11941.4,6046.9,5894.5,0.0,1.17,4359.3,0.84,233.0,-556.7,9378.0,6476.4,1.81,2.94,1.94,0.08,6476.4,6476.4,10118.9,15252.0,2680.8,-35.5,-2222.7,-915.5,1830.8,2726.4,0.79,4.12
AEP,2014-12-01,3130.6,2392.1,738.5,1.6,1.39,778.8,1.48,738.2,690.8,1565.1,77.2,3.08,0.3,0.13,0.08,68.2,77.2,70.6,153.3,507.8,-587.8,286.2,206.2,-335.3,-349.1,0.0,13.98
SWK,2011-12-01,809.6,812.5,-2.9,2.3,-0.75,-602.1,-3.39,79.5,899.2,1879.6,241.5,5.62,2.72,0.55,0.3,259.3,241.5,143.1,476.4,259.6,-1733.9,-685.4,-2180.6,22.7,41.8,0.44,-5.08
CHRW,2013-12-01,-1.4,563.2,-564.7,-12.6,-3.06,-551.7,-3.43,621.4,669.4,1393.0,-37.8,10.96,-1.03,-0.11,0.06,-24.0,-37.8,-30.4,-177.9,-112.5,330.2,-100.6,115.7,-59.8,-54.0,-0.63,-4.87
CMI,2018-12-01,987.0,892.0,95.0,-7.9,2.68,109.0,2.21,470.0,512.0,3343.0,492.0,24.01,7.21,1.49,0.23,533.0,492.0,202.2,1142.0,101.0,78.0,-326.0,-315.0,-744.1,-722.5,-0.31,-43.0
TSCO,2015-12-01,336.2,236.5,99.7,-2.5,0.9,99.7,0.89,162.7,150.1,514.8,61.0,4.46,0.34,0.32,0.15,61.0,61.0,37.6,39.5,47.0,-75.6,132.9,104.3,-25.9,-25.2,-0.18,6.68
NEM,2014-12-01,309.0,129.0,180.0,1.0,0.52,297.0,0.55,-94.0,-937.0,-1595.0,-428.0,-3.23,6.11,-1.23,-1.0,-430.0,-428.0,-612.2,3042.0,-105.0,806.0,147.0,925.0,556.6,573.5,1.52,-4.03
AZO,2019-08-01,548.9,742.5,-193.5,-1.9,-12.24,-189.3,-12.92,226.0,259.0,642.6,81.8,59.14,15.19,5.43,0.0,80.9,81.8,44.7,279.7,48.2,30.1,-41.9,33.9,-51.7,-44.1,7.6,334.81
NRG,2012-12-01,8083.0,5483.0,2600.0,95.5,-2.67,2404.0,2.03,6098.0,5116.0,-657.0,-338.0,-1.53,0.45,-0.98,0.27,-359.0,-338.0,-230.0,98.0,-17.0,785.0,2066.0,2828.0,-1256.7,-1259.3,-4.85,4.87
NDAQ,2012-12-01,-4959.0,-5182.0,223.0,-7.7,2.78,-44.0,-0.74,-3886.0,-3899.0,-318.0,10.0,-0.96,-0.1,0.21,0.39,7.0,10.0,16.5,-35.0,-81.0,18.0,-154.0,-200.0,4021.0,4026.3,-0.31,0.48
