Company,Time,Total Assets,Total Liabilities,Total Equity,Total Shares Out. on Filing Date,Book Value / Share,Tangible Book Value,Tangible Book Value Per Share,Total Debt,Net Debt,Total Revenues,Operating Income,Revenue Per Share,Basic EPS,Normalized Basic EPS,Dividend Per Share,EBITA,EBIT,Normalized Net Income,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price
SWKS,2017-09-01,4573.6,507.9,4065.7,183.2,22.20,3114.9,17.01,0.0,-1616.8,3651.4,1253.1,19.81,5.48,4.26,1.16,1280.7,1253.1,785.2,1010.2,1456.3,-325.9,-597.4,533,890.2,890.2,6.19,101.9
BDX,2011-09-01,10430.4,5602.3,4828.2,214.9,22.48,2721.9,12.67,2788.7,1219.4,7584.0,1680.0,34.29,5.75,4.62,1.64,1734.0,1680.0,1021.3,1271.0,1716.0,-1040.0,-714.0,-41.0,667.3,721.7,5.05,73.32
CNP,2016-12-01,21829.0,18369.0,3460.0,430.7,8.03,2598.0,6.03,8592.0,7298.0,7528.0,951,17.48,1.00,0.52,1.03,955,951,225,432,1923.0,-1034.0,-808.0,81,544.3,786.4,1.18,24.64
EQT,2018-12-01,20721.3,9763.1,10958.2,254.8,43.06,10880.9,42.76,5497.4,5493.9,4635.8,763.7,17.77,-8.60,1.30,0.12,772,763.7,338,-2244.6,2976.3,-3979.1,859,-143.8,-1461.2,-1318.1,-0.09,18.89
SJM,2015-04-01,16806.3,9719.4,7086.9,119.7,59.27,-5875.0,-49.13,6170.9,6045.3,5692.7,836,54.96,3.33,4.59,2.56,945.7,836,475.2,344.9,739.1,-1595.7,857.3,-27.9,278.9,328.8,4.74,115.92
AMD,2014-12-01,3767.0,3580.0,187,777.3,0.24,-417.0,-0.54,2212.0,1172.0,5506.0,163,7.17,-0.52,-0.02,0,164,163,-11.9,-403.0,-98.0,-12.0,46,-64.0,-23.8,86.9,-0.25,2.67
CINF,2019-12-01,25408.0,15544.0,9864.0,162.7,60.55,9864.0,60.55,885,118,7924.0,2525.0,48.55,12.24,9.47,2.24,2525.0,2525.0,1545.0,1997.0,1208.0,-679.0,-546.0,-17.0,3727.0,3760.1,7.25,105.15
EMR,2011-09-01,23861.0,13310.0,10551.0,735.7,14.07,-341.0,-0.46,5201.0,3149.0,24222.0,3930.0,32.36,3.31,3.04,1.38,4275.0,3930.0,2272.5,2480.0,3233.0,-848.0,-1887.0,460,2340.5,2494.3,3.45,41.31
PHM,2014-12-01,8569.4,3764.5,4805.0,368.2,13.01,4681.8,12.67,2014.3,717.2,5822.4,714.7,15.72,1.27,1.23,0.20,727.7,714.7,454.2,474.3,307.9,-122.6,-529.1,-343.8,-57.1,-56.6,0.70,21.46
GILD,2010-12-01,11592.6,5470.8,6121.8,1590.5,3.66,4438.1,2.77,3477.6,1378.9,7949.4,3962.2,4.64,1.69,1.44,0,4160.5,3962.2,2457.5,2901.3,2833.9,-1937.8,-1338.7,-365.1,2312.4,2380.5,1.62,18.12
MGEE,2010-12-01,1317.9,792.8,525.1,34.7,15.14,525.1,15.14,358.5,351.4,520.0,96.6,15.00,1.66,1.60,0.99,96.6,96.6,55.6,57.7,124.0,-57.4,-64.2,2.4,29.3,39.4,1.84,28.51
KR,2012-01-01,23476.0,19510.0,3966.0,1120.5,3.55,2843.0,2.53,8206.0,8018.0,90269.0,1315.0,76.50,0.51,0.47,0.22,1327.0,1315.0,556,602,2658.0,-1908.0,-1387.0,-637.0,350,621.9,0.64,11.88
CTXS,2014-12-01,5512.0,3338.4,2173.6,159.8,13.52,-13.9,-0.09,1293.0,503.5,3142.9,402.8,18.50,1.48,1.40,0,535.8,402.8,238.5,251.7,846,-569.5,-292.7,-20.6,574.0,568.4,3.93,50.81
EMR,2015-09-01,22088.0,13960.0,8128.0,654.6,12.34,3296.0,5.04,6841.0,3688.0,16249.0,3067.0,24.13,4.02,2.66,1.88,3161.0,3067.0,1793.3,2710.0,2529.0,591,-2948.0,-95.0,1883.1,2006.9,2.88,44.17
ITW,2013-12-01,19966.0,10257.0,9709.0,424.9,22.57,2818.0,6.55,6344.0,2726.0,14135.0,2516.0,31.68,3.76,3.26,1.60,2766.0,2516.0,1452.5,1679.0,2528.0,-456.0,-1140.0,839,880.1,1029.5,4.84,84.08
CERN,2013-12-01,4098.4,930.7,3167.7,343.9,9.21,2369.0,6.89,165.8,-713.6,2840.6,576.0,8.27,1.16,1.07,0,609,576.0,367.5,398.4,695.9,-688.4,-119.4,-114.7,22.7,25.4,0.32,55.74
ROL,2010-12-01,619,321.0,298.0,332.2,0.90,-60.4,-0.18,26.0,5.1,1136.9,144.1,3.41,0.27,0.27,0.11,164.5,144.1,89.8,90.0,124.1,-47.6,-65.5,11.4,119.3,119.6,0.33,8.58
HBI,2017-12-01,6894.8,6208.6,686.2,360.2,1.91,-1883.7,-5.23,3963.5,3542.0,6471.4,907.9,17.60,0.20,1.24,0.60,942.8,907.9,454.6,73.9,655.7,-104.5,-585.8,-38.7,550.4,649,1.55,20.91
WST,2019-12-01,2341.4,768.2,1573.2,73.8,21.23,1435.6,19.37,329.3,-109.8,1839.9,292.3,24.86,3.27,2.55,0.61,295.7,292.3,188.8,241.7,367.2,-228.0,-36.8,101.7,162.3,167.6,3.25,150.33
HLF,2012-12-01,1724.1,1328.7,395.5,206.2,1.85,-21.2,-0.10,489.6,156.1,4072.3,661.4,18.12,2.06,1.81,0.60,662.0,661.4,406.8,464.0,567.8,-125.0,-371.2,74.7,391.4,401.8,1.99,16.47
IDXX,2011-12-01,1030.8,491.2,539.6,110.1,4.90,297.8,2.70,247.8,63.9,1218.7,236.2,10.73,1.42,1.29,0,244.9,236.2,146.5,161.8,217.9,-94.2,-97.7,27,158.1,160.3,1.47,38.48
STX,2019-06-01,8885.0,6723.0,2162.0,264.1,8.03,814,3.02,4253.0,2033.0,10390.0,1465.0,36.84,7.13,2.99,2.52,1542.0,1465.0,843.1,2012.0,1761.0,846,-2212.0,394,696.6,836.6,4.11,47.12
VFF,2018-12-01,141.4,57.0,84.4,47.6,1.77,84.4,1.77,37.9,25.9,150.0,-6.2,3.38,-0.17,-0.14,0,-6.2,-6.2,-6.1,-7.5,-4.7,-13.5,23,4.8,-11.4,-9.7,-0.18,3.24
TOT,2015-12-01,224484.0,129075.0,95409.0,2326.1,39.76,77945.0,33.51,57079.0,27840.0,143421.0,11183.0,62.49,2.22,3.88,2.67,11515.0,11183.0,8898.5,5087.0,19946.0,-20449.0,1060.0,-1912.0,851.4,1221.4,-2.26,44.95
URI,2016-12-01,11988.0,10340.0,1648.0,84.3,19.57,-2354.0,-27.95,7790.0,7478.0,5762.0,1464.0,66.07,6.49,7.59,0,1638.0,1464.0,661.9,566,1941.0,-847.0,-964.0,133,1141.8,1389.0,12.59,105.58
ADP,2019-06-01,41887.7,36487.8,5399.9,433.9,12.44,2005.4,4.62,2264.2,304.5,14175.2,3080.4,32.59,5.27,4.38,3.06,3308.8,3080.4,1905.1,2292.8,2688.3,-2197.7,-207.7,254.1,1948.3,2029.5,4.88,165.33
TIF,2015-01-01,5180.6,2329.9,2850.7,129.2,21.93,2721.8,21.05,1116.5,385,4249.9,891.4,32.89,3.75,4.02,1.48,899.2,891.4,519.6,484.2,615.1,-217.0,-23.4,384.2,554.8,594.1,2.85,86.64
INCY,2019-12-01,3426.8,828.3,2598.4,216.8,12.02,2249.0,10.40,72.1,-2045.5,2158.8,421.1,10.04,2.08,1.37,0,442.6,421.1,295,446.9,710.7,-87.5,45.7,668.7,518.7,518.9,2.94,87.32
HOLX,2012-09-01,10477.1,7516.1,2961.0,266.8,11.16,-5283.0,-19.90,5068.9,4508.4,2002.6,321.9,7.58,-0.28,0.45,0,595.8,321.9,118.0,-73.6,370.2,-3850.8,3328.1,-151.9,221.4,236.8,1.15,20.22
GPN,2015-05-01,5779.3,4915.7,863.6,130.2,5.81,-1294.0,-9.91,2332.7,1682.0,2773.7,456.6,20.69,2.07,1.71,0.04,529.2,456.6,229.6,278.0,429.9,-440.9,136.2,68.9,355.8,380.7,2.52,52.19
PNW,2016-12-01,16004.3,11068.3,4935.9,111.3,43.14,4713.6,42.34,4324.0,4315.1,3498.7,856.0,31.40,3.97,3.75,2.53,914,856.0,417.8,442.0,1023.4,-1252.1,198.1,-30.6,-323.3,-194.7,-2.44,78.03
VALE,2012-01-01,127242.8,48721.2,78521.6,5097.3,14.97,66749.7,13.10,25209.6,21241.2,53960.8,25935.1,10.28,3.87,2.85,1.38,26214.1,25935.1,14954.3,20298.4,21298.1,-11626.0,-12664.9,-3242.8,3643.7,4552.3,1.44,20.65
HOLX,2011-09-01,6008.8,3071.9,2936.9,263.1,11.20,-1444.2,-5.51,1521.4,809.1,1789.3,301.9,6.85,0.60,0.45,0,537.6,301.9,117.0,157.2,456.0,-266.6,7.7,196.7,510.1,505.0,1.57,15.21
CCK,2011-12-01,6868.0,7107.0,-239.0,147.5,-3.21,-2425.0,-16.45,3532.0,3190.0,8644.0,953,56.98,1.86,2.27,0,953,953,344.1,282,379,-372.0,-129.0,-121.0,280.6,425.6,-0.15,33.58
GASS,2010-12-01,688.4,382.1,306.3,21.1,14.52,306.3,14.52,356.7,326.9,111.4,21.8,5.17,0.51,0.29,0,21.8,21.8,6.2,11.1,27.8,-33.2,-10.6,-14.3,-41.8,-32.8,-2.00,7.95
EFX,2015-12-01,4501.5,2151.1,2350.4,118.7,19.47,-1182.7,-9.96,1187.7,1094.4,2663.6,714.6,22.44,3.61,3.49,1.16,836.9,714.6,414.4,429.1,769.1,-147.8,-639.0,-35.0,604.7,644.5,5.25,111.37
CSX,2019-12-01,38257.0,26394.0,11863.0,773.8,15.32,11848.0,15.32,16788.0,14834.0,11937.0,4939.0,15.00,4.18,3.41,0.96,4939.0,4939.0,2717.5,3331.0,4850.0,-2102.0,-2648.0,100,2474.3,2934.9,4.01,72.36
HOG,2012-12-01,9170.8,6613.1,2557.6,224.4,11.40,2528.1,11.27,5103.0,4239.7,5580.5,1028.7,24.57,2.75,2.72,0.62,1028.7,1028.7,618.7,623.9,801.5,-261.3,-990.1,-458.8,-211.1,-270.9,2.70,48.83
JNPR,2014-12-01,8281.4,3362.3,4919.1,407.0,11.82,1866.6,4.48,1349.0,-622.8,4627.1,639.3,10.12,-0.73,0.80,0.20,675.6,639.3,368.2,-334.3,763.4,434,-1824.2,-644.4,674.3,716.1,1.25,22.32
BGS,2011-01-01,871.7,641.1,230.6,47.9,4.84,-355.2,-7.46,489.8,391,513.3,103.4,10.79,0.68,0.83,0.68,109.9,103.4,39.4,32.4,98.9,-25.6,-14.5,58.8,59.2,82.4,1.85,13.43
ED,2010-12-01,36348.0,25074.0,11274.0,292.0,37.93,10629.0,36.45,10683.0,10345.0,13325.0,2120.0,46.87,3.49,3.39,2.38,2120.0,2120.0,962.5,992,2381.0,-2175.0,-128.0,78,-274.1,119,1.29,49.57
FFIV,2015-09-01,2312.3,995.6,1316.7,70.4,18.77,702.0,10.01,0,-774.3,1919.8,552.9,26.68,5.07,4.88,0,555.5,552.9,350.8,365.0,684.5,-10.7,-556.9,109,534.4,534.4,8.58,115.8
DISH,2011-12-01,11470.2,11889.2,-419.0,447.1,-0.94,-1811.8,-4.05,7493.8,5452.9,13074.1,2612.0,29.35,3.40,2.93,0,2620.0,2612.0,1305.4,1515.9,2573.9,-2695.3,94,-31.6,1003.4,1352.1,3.82,27.71
J,2019-09-01,11462.7,5694.1,5768.7,132.9,43.01,-382.9,-2.88,1401.1,770.1,12737.9,761.9,92.37,6.14,2.91,0.66,839.8,761.9,401.5,848.0,-366.4,2152.3,-1969.0,-162.3,687.6,740.0,-3.64,91.5
COG,2011-12-01,4331.5,2226.7,2104.8,417.2,5.04,2104.8,5.04,950,920.1,979.9,243.5,2.35,0.29,0.26,0.03,243.5,243.5,107.4,122.4,501.8,-487.6,-40.3,-26.0,-526.2,-485.8,-0.93,18.98
SBOW,2019-12-01,959.8,564.1,395.7,11.8,33.52,395.7,33.52,482.4,481.1,288.6,129.5,24.56,9.76,4.95,0,129.9,129.5,58.2,114.7,203.2,-287.9,83.6,-1.1,-141.3,-119.0,-6.76,9.9
TFX,2012-12-01,3733.7,1952.2,1781.5,41.0,43.42,-518.3,-12.65,970,632.9,1551.0,237.5,37.96,-4.65,2.57,1.36,281.7,237.5,105.0,-190.1,186.8,-370.6,-65.7,-247.0,107.6,136.7,2.97,71.31
FLO,2018-12-01,2845.5,1587.3,1258.3,210.9,5.97,-82.0,-0.39,1012.1,986.8,3951.9,269.8,18.73,0.74,0.78,0.71,295.7,269.8,163.7,157.2,295.9,-301.8,26.1,20.2,185.6,207.9,0.93,18.47
CE,2016-12-01,8357.0,5336.0,3021.0,140.9,18.40,1598.0,11.36,3008.0,2358.0,5389.0,902,37.18,6.21,4.46,1.38,910,902,646.5,900,893,-439.0,-759.0,-329.0,465.8,535.8,4.46,78.74
HFC,2014-12-01,9230.0,3129.3,6100.7,195.0,28.27,3171.0,16.23,1055.4,13.3,19764.3,515.5,100.20,1.42,1.28,1.26,517.5,515.5,251.9,281.3,758.6,-292.3,-838.4,-372.1,172.9,200.1,0.98,37.48
EIG,2011-12-01,3482.3,3020.3,462,32.6,14.00,414.1,12.55,122.0,-130.3,464.2,50.2,12.45,1.30,0.78,0.24,51.8,50.2,29.1,48.6,42.4,200,-109.9,132.5,62.6,64.9,1.01,18.09
UPS,2015-12-01,38311.0,35820.0,2491.0,884.4,2.78,-2498.0,-2.82,14366.0,9640.0,58363.0,7668.0,64.78,5.38,5.09,2.92,7929.0,7668.0,4588.8,4844.0,7430.0,-5309.0,-1565.0,439,4292.4,4505.5,5.61,96.23
CB,2015-12-01,102306.0,73171.0,29135.0,461.7,89.77,23452.0,72.26,12147.0,10372.0,18968.0,3516.0,58.26,8.70,6.39,2.66,3687.0,3516.0,2080.6,2834.0,3864.0,-6294.0,3695.0,1120.0,-5341.0,-5153.5,11.87,116.85
LB,2012-01-01,6108.0,5970.0,138,289.4,0.46,-1688.0,-5.72,3598.0,2663.0,10364.0,1546.0,34.09,2.80,2.68,0.80,1550.0,1546.0,813.8,850,1266.0,-226.0,-1237.0,-195.0,822.5,976.3,2.76,36.23
PHM,2016-12-01,10178.2,5518.8,4659.4,317.8,14.60,4504.6,14.12,3562.0,2853.9,7676.5,980.2,22.59,1.76,1.82,0.36,994,980.2,619.1,602.7,68.3,-471.2,350.7,-52.2,-710.5,-710.0,0.09,18.38
JCI,2014-09-01,32785.0,21029.0,11756.0,666.2,17.00,2545.0,3.82,6683.0,6259.0,38749.0,2082.0,58.10,1.82,1.93,0.88,2082.0,2082.0,1290.0,1215.0,2395.0,-2593.0,-412.0,-646.0,1606.5,1765.3,1.79,41.77
PKX,2011-12-01,67553.1,32462.2,35090.8,77.2,427.81,28566.4,369.82,23138.2,17470.3,59394.1,4726.8,768.84,40.69,31.05,8.62,4841.7,4726.8,2398.4,3143.0,1457.4,-4753.1,4221.5,928.4,-4894.8,-4470.3,-46.37,82.1
DHI,2014-09-01,10185.4,5065.7,5119.7,364.6,14.03,5021.0,13.77,3665.7,3033.2,8024.9,893.9,23.57,1.57,1.65,0.18,893.9,893.9,562.1,533.5,-661.4,-282.1,627.9,-315.6,-718.8,-746.2,-2.24,20.52
CXO,2016-12-01,12119.0,4496.0,7623.0,147.1,52.61,7599.0,52.44,2741.0,2688.0,1518.0,-2187.0,11.26,-10.85,-11.11,0,-2179.0,-2187.0,-1496.9,-1462.0,1384.0,-2225.0,665,-176.0,-410.8,-283.3,-7.97,132.6
PEIX,2011-12-01,232.5,113.2,119.3,5.8,8.13,42.5,7.36,94.4,85.5,901.2,4,400.71,0.80,2.04,0,4.9,4,4.6,3.1,-4.0,-11.5,15.6,0.2,3.3,12,-2.81,15.9
FISV,2015-12-01,9340.0,6680.0,2660.0,445.9,5.90,-4412.0,-9.79,4293.0,4018.0,5254.0,1311.0,11.23,1.52,1.57,0,1505.0,1311.0,733.8,712,1346.0,-360.0,-1005.0,-19.0,858.1,964.4,2.11,45.73
NLOK,2020-04-01,7735.0,7725.0,10,589.0,0.02,-3642.0,-6.18,4322.0,2059.0,2490.0,620,4.05,6.32,0.46,0.40,699,620,285,3887.0,-861.0,11379.0,-10123.0,386,-563.0,-440.5,-1.54,21.27
TOT,2010-12-01,192716.1,110555.8,82160.2,2237.2,36.21,69054.0,30.87,40828.7,20175.7,188368.8,26728.8,84.29,6.34,8.06,3.06,27086.8,26728.8,18009.1,14175.0,24797.9,-16033.5,-4489.4,3790.8,6489.4,6879.1,2.81,53.46
FLS,2017-12-01,4910.5,3239.5,1671.0,130.8,12.70,226.4,1.74,1575.3,871.8,3660.8,207.5,28.01,0.02,0.69,0.76,222.8,207.5,90.6,2.7,311.1,176.6,-185.4,336.3,321.5,358.8,1.91,42.13
SBUX,2018-09-01,24156.4,22980.6,1175.8,1309.1,0.89,-3414.3,-2.61,9472.6,534.8,24719.5,3810.1,17.88,3.27,1.87,1.32,3996.6,3810.1,2586.4,4518.3,11937.8,-2361.5,-3242.8,6294.0,2004.4,2110.8,7.20,56.84
AAL,2013-12-01,42278.0,45009.0,-2731.0,471.5,-5.18,-9128.0,-17.33,20632.0,11381.0,26712.0,1935.0,95.33,-6.55,2.32,0,1955.0,1935.0,650,-1834.0,675,-3814.0,3799.0,660,1106.4,1641.4,-8.70,25.25
WMB,2015-12-01,49020.0,32795.0,16225.0,750.1,8.21,-3869.0,-5.17,24487.0,24387.0,7360.0,1467.0,9.82,-0.76,1.73,2.45,1820.0,1467.0,1294.9,-571.0,2708.0,-3299.0,451,-140.0,-799.6,-147.1,-0.61,25.7
MSCI,2017-12-01,3275.7,2874.7,401,89.9,4.45,-1481.4,-16.44,2078.1,1188.6,1274.2,579.8,14.10,3.36,3.23,1.32,618.9,579.8,291.8,304.0,404.2,-48.0,-267.5,97.7,319.6,388.8,3.93,126.54
MSFT,2017-06-01,250312.0,162601.0,87711.0,7702.2,11.38,42483.0,5.51,95527.0,-37374.0,96571.0,29331.0,12.47,3.29,2.24,1.56,31031.0,29331.0,17386.3,25489.0,39507.0,-46781.0,8408.0,1153.0,14658.1,16046.9,4.05,68.93
AZO,2017-08-01,9259.8,10688.2,-1428.4,27.5,-51.32,-1872.8,-67.29,5129.4,4817.5,10888.7,2080.1,383.00,45.05,42.33,0,2080.1,2080.1,1203.4,1280.9,1570.6,-553.6,-914.3,103.5,832.9,923.3,35.76,528.44
IDXX,2013-12-01,1230.5,712.3,518.2,103.2,5.03,278.8,2.70,430.2,151.2,1377.1,266.8,12.95,1.77,1.55,0,276.5,266.8,164.5,187.8,246.0,-86.1,-102.5,55.1,133.1,136.4,1.57,53.19
IFF,2019-12-01,13287.4,6958.8,6328.6,106.8,58.22,-2132.2,-19.97,4678.0,4071.1,5140.1,789.8,45.91,4.04,3.63,2.96,982.9,789.8,406.6,455.9,699.0,-225.9,-505.1,-24.6,544,630.4,4.08,129.02
MGM,2016-12-01,28173.3,18149.9,10023.5,574.2,10.83,315.4,0.55,12987.6,11541.0,9081.1,1276.2,15.98,1.94,0.89,0,1456.2,1276.2,507.6,1100.4,1534.0,-2276.2,519.4,-223.7,-705.8,-312.1,-1.28,28.83
TRV,2014-12-01,103078.0,78242.0,24836.0,321.4,77.08,20921.0,64.93,6349.0,5975.0,27174.0,5458.0,80.21,10.82,9.39,2.15,5504.0,5458.0,3180.6,3692.0,3693.0,206,-3809.0,80,6914.6,7145.3,10.90,105.85
SLB,2011-12-01,55201.0,23809.0,31392.0,1333.8,23.44,11802.0,8.85,9933.0,5106.0,36579.0,6359.0,27.12,3.70,2.86,1.00,6683.0,6359.0,3859.4,4997.0,6169.0,-3525.0,-2700.0,-59.0,1335.1,1521.4,1.39,68.31
CMCSA,2017-12-01,187462.0,116646.0,70816.0,4644.5,14.77,-45661.0,-9.83,64556.0,61128.0,85029.0,17576.0,18.06,4.83,1.94,0.63,19792.0,17576.0,9143.0,22735.0,21261.0,-13533.0,-7572.0,156,7888.3,9817.0,2.13,40.05
RE,2015-12-01,20545.4,12936.8,7608.6,42.7,178.21,7608.6,178.21,633.0,349.3,5596.8,1068.1,128.91,22.29,16.01,4.00,1068.1,1068.1,694.9,977.9,1108.2,-681.1,-573.2,-153.8,1079.4,1102.0,25.53,183.09
DISCA,2017-12-01,22555.0,17532.0,5023.0,566.0,8.14,-6532.0,-11.54,14785.0,7294.0,6873.0,2230.0,13.74,-0.59,1.82,0,2410.0,2230.0,909.1,-337.0,1629.0,-633.0,5951.0,7009.0,3123.5,3409.8,2.99,22.38
MCO,2018-12-01,9526.0,8870.0,656,191.0,2.40,-4888.0,-25.55,5681.0,3863.0,4443.0,1916.0,23.19,6.84,5.59,1.76,2018.0,1916.0,1070.6,1310.0,1461.0,-406.0,-412.0,613,1149.4,1271.9,7.15,140.04
RE,2018-12-01,24751.0,16890.2,7860.8,40.7,193.37,7860.8,193.37,633.6,-22.5,7381.6,-191.1,182.77,2.18,-3.75,5.30,-191.1,-191.1,-151.4,89,610.1,-279.6,-316.6,21,-456.6,-437.2,15.11,217.76
VIAC,2010-12-01,26143.0,16322.0,9821.0,672.4,14.42,-5327.0,-7.82,6000.0,5520.0,13466.0,1988.0,19.83,1.07,1.31,0.20,2117.0,1988.0,886.9,724,1735.0,-368.0,-1604.0,-237.0,1012.4,1325.8,2.18,19.05
DGX,2015-12-01,9962.0,5179.0,4783.0,142.8,32.76,-2205.0,-15.42,3657.0,3524.0,7493.0,1204.0,52.03,4.90,4.36,1.52,1285.0,1204.0,627.9,709.0,821,-362.0,-518.0,-59.0,615.3,711.5,3.88,71.14
NVR,2014-12-01,2351.3,1227.1,1124.3,4.0,277.66,1070.0,264.25,599.2,84.5,4452.4,476.1,1040.76,65.83,66.26,0,476.1,476.1,283.5,281.6,184.5,-19.1,-486.3,-320.8,192.8,206.9,35.74,1275.33
ROK,2015-09-01,6404.7,4147.9,2256.8,132.0,17.05,998.5,7.54,1500.9,-648.3,6307.9,1196.7,46.90,6.15,5.24,2.60,1216.7,1196.7,704.7,827.6,1187.7,-246.9,-608.1,236,1116.6,1156.4,7.92,101.47
IO,2011-12-01,674.1,245.6,428.4,10.4,38.44,151,14.57,105.1,42.7,454.6,66.8,44.05,2.27,2.12,0,148.6,66.8,21.9,24.8,130,-181.6,9.8,-42.0,-32.7,-29.1,-2.54,91.95
TGT,2014-02-01,44553.0,28322.0,16231.0,633.2,25.64,15900.0,25.12,12611.0,11941.0,71279.0,4879.0,112.23,3.10,4.21,1.58,4899.0,4879.0,2671.9,1971.0,6520.0,-271.0,-6364.0,-89.0,8185.9,8563.4,7.30,62.54
HD,2015-02-01,39946.0,30624.0,9322.0,1307.4,7.13,7969.0,6.10,17197.0,15474.0,83176.0,10439.0,62.16,4.74,4.65,2.00,10439.0,10439.0,6216.3,6345.0,8242.0,-1271.0,-7071.0,-206.0,6570.6,7089.4,5.08,114.75
EONGY,2010-12-01,205003.0,143876.6,61126.4,1905.4,29.31,25564.9,13.42,43568.2,33174.7,125311.4,12831.4,65.78,4.12,3.35,2.01,13453.6,12831.4,6372.9,7848.5,14864.2,1013.7,-13307.4,2592.0,-1843.9,606.7,2.24,30.41
ES,2015-12-01,30580.3,20072.5,10507.8,317.2,32.64,6832.8,21.54,10195.4,10171.5,7954.8,1764.2,25.07,2.77,2.78,1.67,1764.2,1764.2,882.5,878.5,1433.8,-1659.2,210.6,-14.8,-416.1,-183.3,-0.92,51.07
AKAM,2015-12-01,4181.7,1060.8,3120.9,176.7,17.61,1814.5,10.24,618,-131.5,2197.4,468.7,12.32,1.80,1.61,0,495.7,468.7,287.0,321.4,793.5,-435.6,-297.0,50.8,292.9,285.9,1.95,52.63
ANTM,2018-12-01,71571.0,43030.0,28541.0,257.0,110.88,-970.0,-3.77,19815.0,15881.0,92091.0,5818.0,356.80,14.53,12.30,3.00,6176.0,5818.0,3174.4,3750.0,3827.0,-1259.0,-2241.0,325,4484.4,4946.3,10.15,262.63
OMC,2014-12-01,21428.4,17921.4,3507.0,246.7,11.55,-6361.6,-25.79,4549.7,2159.4,15317.8,1944.1,60.33,4.27,3.99,1.90,2051.2,1944.1,1012.3,1104.0,1476.5,-266.9,-1258.1,-322.4,1317.7,1428.5,4.98,77.47
ENIA,2012-01-01,26250.8,12997.5,13253.3,32651.2,0.23,1867.4,0.06,7131.6,4847.1,12114.3,3188.7,0.37,0.02,0.02,0.01,3385.9,3188.7,812.7,722.1,3218.1,-1185.6,-1683.5,495.2,1422.9,1707.2,0.06,9.87
CCL,2017-11-01,40778.0,16562.0,24216.0,718,33.73,20049.0,27.92,9222.0,8827.0,17510.0,3237.0,24.25,3.61,2.65,1.60,3237.0,3237.0,1911.9,2606.0,5322.0,-3122.0,-2452.0,-241.0,1372.4,1496.1,3.29,65.64
DVA,2018-12-01,19110.3,14077.2,5033.0,166.4,22.26,-3257.4,-19.58,10102.2,9776.2,11412.2,1490.1,66.82,0.93,2.67,0,1506.1,1490.1,456.6,159.4,1530.8,-1005.6,-625.4,-103.5,513.1,812.5,3.18,51.46
DUK,2015-12-01,121156.0,81385.0,39771.0,688.4,57.74,23413.0,34.03,42501.0,42118.0,21975.0,5136.0,31.66,4.06,3.55,3.24,5141.0,5136.0,2465.0,2816.0,6700.0,-5277.0,-2602.0,-80.0,590.6,1545.0,-0.10,71.39
UAL,2019-12-01,52611.0,41080.0,11531.0,248.0,45.90,3999.0,15.92,20450.0,15506.0,43259.0,4568.0,167.15,11.63,9.68,0,4628.0,4568.0,2504.4,3009.0,6909.0,-4560.0,-1280.0,1069.0,1237.3,1641.0,9.20,88.09
GTN,2011-12-01,1234.0,1072.5,161.5,57.1,2.15,-867.3,-15.18,832.2,827,307.1,72.0,5.38,0.03,0.11,0,72.1,72.0,6.4,9.0,38.2,-21.9,-16.5,-0.2,21.1,56.8,0.13,1.62
FIZZ,2018-04-01,458.8,127.4,331.4,46.6,7.22,321.6,6.90,0.0,-189.9,975.7,204.2,20.94,3.21,2.76,0,204.2,204.2,128.4,149.8,154.7,-31.9,-69.3,53.5,95.3,95.3,2.63,85.55
NAT,2014-12-01,1175.9,286.9,888.9,89.2,9.97,869.9,9.75,250.0,149.3,351.0,-4.8,4.11,-0.15,-0.12,0.71,-4.8,-4.8,-10.3,-13.2,57.5,-81.7,59.4,35.1,-7.2,-0.8,-0.19,9.98
INTC,2014-12-01,91900.0,36035.0,55865.0,4736.0,11.77,40558.0,8.54,13673.0,-728.0,55870.0,15642.0,11.40,2.39,2.00,0.90,16811.0,15642.0,9796.9,11704.0,20418.0,-9905.0,-13611.0,-3113.0,9088.3,9208.3,2.10,36.29
LNT,2018-12-01,15426.0,10640.3,4785.7,236.1,19.43,4585.7,19.43,5944.0,5923.1,3534.5,677.9,15.13,2.19,1.50,1.34,677.9,677.9,349.9,512.1,527.7,-1066.8,530.7,-8.4,-665.8,-505.0,-4.74,42.25
TNK,2014-12-01,1241.2,762.9,478.3,14.0,34.16,478.3,34.16,726.8,564,267.1,47.6,21.44,5.26,2.93,0.96,47.6,47.6,36.5,68.9,16.4,116.3,6.2,138.9,22.7,30.1,1.15,40.48
NNA,2014-12-01,1697.0,1194.2,502.8,10.1,48.54,485.9,48.06,1142.0,1087.5,264.9,79.6,26.92,1.16,0.07,3.00,83.6,79.6,0.7,13,76,-145.7,41.4,-28.3,-277.6,-237.6,-30.54,54.45
AOS,2019-12-01,3058.0,1391.2,1666.8,162.0,10.27,782.4,4.82,334.7,-216.7,2992.7,459.7,18.09,2.24,1.78,0.90,475.5,459.7,295.1,370.0,456.2,33.9,-375.8,114.3,314.5,321.4,2.37,47.64
