Company,Time,Total Assets,Total Liabilities,Total Equity,Total Shares Out. on Filing Date,Book Value / Share,Tangible Book Value,Tangible Book Value Per Share,Total Debt,Net Debt,Total Revenues,Operating Income,Revenue Per Share,Basic EPS,Normalized Basic EPS,Dividend Per Share,EBITA,EBIT,Normalized Net Income,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price
CCL,2016-11-01,38881.0,16284.0,22597.0,726,31.13,18412.0,25.36,9432.0,8829.0,16389.0,3024.0,22.00,3.73,2.37,1.35,3024.0,3024.0,1767.5,2779.0,5134.0,-3323.0,-2591.0,-792.0,843.6,983,2.78,51.41
ABT,2013-12-01,42953.0,17686.0,25267.0,1543.1,16.26,9664.0,6.24,6561.0,-1537.0,19657.0,2190.0,12.62,1.64,0.84,0.64,2981.0,2190.0,1311.3,2576.0,3324.0,-3929.0,-6696.0,-7327.0,2506.1,2596.8,1.40,38.33
NFLX,2011-12-01,3069.2,2426.4,642.8,387.9,1.66,-404.1,-1.04,400,-397.8,3204.6,385.1,8.66,0.61,0.62,0,385.1,385.1,230.3,226.1,317.7,-265.8,261.7,313.6,1086.9,1099.4,0.49,9.9
KLAC,2011-06-01,4675.5,1814.6,2860.9,167.0,17.12,2446.8,14.64,746.3,-1292.2,3175.2,1160.3,18.98,4.75,4.18,1.00,1193.2,1160.3,698.4,794.5,823.2,-359.5,-300.2,181.4,578.6,612.5,4.62,32.55
CL,2016-12-01,12123.0,12106.0,17,882.9,-0.28,-3663.0,-4.15,6533.0,5194.0,15195.0,3975.0,17.04,2.74,2.56,1.55,4008.0,3975.0,2283.8,2441.0,3141.0,-499.0,-2233.0,345,2769.3,2862.4,2.86,65.44
KMX,2012-02-01,8331.5,5658.4,2673.1,227.2,11.77,2663.0,11.73,5054.7,4611.6,10452.3,700.2,46.19,1.83,1.84,0,700.2,700.2,416.8,413.8,-62.2,-219.4,683.1,401.5,416.7,437.7,-1.04,30.69
WMT,2016-01-01,199581.0,115970.0,83611.0,3144.3,25.47,63851.0,20.19,50772.0,42067.0,482130.0,24105.0,150.34,4.58,4.10,1.96,24105.0,24105.0,13137.8,14694.0,27552.0,-10675.0,-16285.0,-430.0,14540.1,16132.6,5.01,66.36
HWKN,2017-04-01,418.6,200.8,217.8,10.6,20.58,43.4,4.10,102.6,95.8,483.6,38.7,45.90,2.14,2.14,0.84,44.8,38.7,22.5,22.6,44.9,-23.5,-34.5,-13.2,21.4,22.9,2.21,51.1
EONGY,2015-12-01,123478.7,102759.7,20719.0,1952.4,9.14,6306.8,3.23,19269.1,11849.0,46881.3,6228.6,24.12,-3.91,1.21,0.54,6521.9,6228.6,2360.0,-7601.4,6710.8,-311.7,-4190.1,2143.9,5299.8,6558.3,1.79,9.52
KO,2010-12-01,72921.0,41604.0,31317.0,4588.6,6.76,4094.0,0.89,23514.0,12177.0,35119.0,8965.0,7.61,2.55,1.29,0.88,9204.0,8965.0,5935.6,11787.0,9532.0,-4405.0,-3465.0,1496.0,5060.0,5518.1,1.59,32.88
NSC,2013-12-01,32483.0,21194.0,11289.0,309.7,36.55,11289.0,36.55,9581.0,8020.0,11245.0,3257.0,36.05,6.10,5.74,2.04,3257.0,3257.0,1790.0,1910.0,3078.0,-1894.0,-394.0,790,701.5,1029.6,3.55,92.83
XLNX,2017-04-01,4740.5,2232.9,2507.6,248.1,10.11,2342.8,9.45,1451.6,-1869.9,2356.7,706.4,9.34,2.49,1.72,1.32,723.6,706.4,434.1,628.1,934.1,494,-965.2,462.9,635.1,657.1,3.42,63.11
MSI,2013-12-01,11851.0,8162.0,3689.0,253.9,14.38,3292.0,12.94,2461.0,-764.0,6227.0,1033.0,23.41,4.13,2.17,1.14,1034.0,1033.0,576.5,1099.0,944,2010.0,-1207.0,1757.0,563.4,644.6,2.91,67.5
CVX,2019-12-01,237428.0,92220.0,145208.0,1879.3,76.62,139750.0,74.25,30858.0,25109.0,139865.0,10478.0,74.32,1.55,5.01,4.76,11106.0,10478.0,9432.8,2924.0,27314.0,-11458.0,-19758.0,-3570.0,12496.0,12994.8,7.01,120.51
TTWO,2011-03-01,971.7,356.4,615.3,81.6,7.60,234,2.89,107.2,-173.1,1136.9,74.6,14.12,0.56,0.48,0,79.6,74.6,38.3,48.5,134.8,-7.6,0.7,134.5,243.1,244.0,1.55,15.37
